author1	author2	#coauthor
Karam Gouda	Mosab Hassaan	1
Rahul Ramachandran	Juan-Carlos Jusem	1
Charles L. A. Clarke	Thomas R. Lynam	1
Cyrus Shahabi	Reza Sadri	1
Pavel Berkhin	Edmund Freeman	1
Mohamed G. Elfeky	Ahmed K. Elmagarmid	2
Feng Pan	Fernando Pardo-Manuel de Villena	1
Norman D. Black	Ye Huang	1
Bing Liu	Kaidi Zhao	6
John M. Prager	Weiguo Fan	1
Panagiotis G. Ipeirotis	Kenneth R. Wood	1
Pavan Vatturi	Weng-Keen Wong	1
Jeffrey Xu Yu	Jian Yin	1
Chunyan Miao	Angela Goh	1
Evaggelia Pitoura	Bharat K. Bhargava	1
Francois Fouss	Jean-Michel Renders	1
Krishnamoorthy Sivakumar	Souptik Datta	1
Corinna Cortes	William DuMouchel	1
Fei Wu	Daniel S. Weld	2
Yiming Yang	Il-Chul Moon	1
Gregory Piatetsky-Shapiro	Tom Khabaza	2
Xiaolan Zhu	Lutz Gerhard	1
Sandro da Silva Camargo	Paulo Martins Engel	1
Andrew Tomkins	Rajeev Motwani	1
Chang-Tien Lu	Yufeng Kou	1
John Komoroske	Lisa Friedland	1
Ada Wai-Chee Fu	Lei Chen	2
Bart Selman	John E. Hopcroft	1
Takao Terano	Yoko Ishino	1
Yong Gao	Osmar R. Zaiane	1
Yuzhou Zhang	Lizhu Zhou	1
Donald G. Baker	Ross Dargahi	1
William S. Yerazunis	Shalendra Chhabra	1
Ning Li	Nadav Eiron	1
Stephane Bressan	Zoe Lacroix	1
Manish Mehta	Rakesh Agrawal	2
Nagiza F. Samatova	Byung-Hoon Park	1
Jonathan R. M. Hosking	Hongfei Li	1
Robert Grossman	Wayne Thompson	1
Sunil Movva	Sara J. Graves	1
Oliver Schulte	Byron J. Gao	1
Jana Dittmann	Sascha Schimke	1
Jack Chongjie Xue	Gary M. Weiss	1
Ding Zhou	Bingjun Sun	1
Hua Li	Jun Yan	1
Alejandro Murua	Jeremy Tantrum	2
Alejandro Murua	Werner Stuetzle	2
James A. Shine	James P. Rogers	1
Ana-Maria Popescu	Alexander D. Cohn	1
Yuhong Xiong	Hui Xiong	1
KangSeuk Kim	Jae-Woo Chang	1
Elisa Bertino	Barbara Carminati	1
Abdullah Uz Tansel	Necip Fazil Ayan	1
Martin Ester	Gabriela Moise	1
Scott Epter	Mukkai S. Krishnamoorthy	1
Guy M. Lohman	Nimrod Megiddo	1
Ming Dong	Manjeet Rege	2
E. Bibelnieks	Chidanand Apte	1
Zhihua Zhang	Hui Zhang	1
Martin Ester	Jin-yi Cai	1
